TS[3]_CHOQUET[A;-0.75;AO2;0.0]_N_scm,GV[2]_GOWAWA[0.2;2;ES2-OWA;0.9;0.0;2;W-OWA;0.4;0.6]_N_pie,GV[3]_GOWAWA[0.1;0;W-OWA;0.1;0.6;2;W-OWA;0.1;0.2]_U_pie,ES_SD_H_z2,AC[4]_AM_T_hwhh,GV[2]_GOWAWA[0.9;1;S-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_U_pah,GV[4]_GOWAWA[0.2;2;ES2-OWA;0.9;0.0;2;W-OWA;0.4;0.6]_T_eps,TS[4]_GOWAWA[0.5;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_cch,TS[3]_HM_U_khh,TS[2]_CHOQUET[A;-0.25;AO2;1.0]_T_khh,Class
-0.4306532241802554,-0.15061242029377195,2.479741117661803,0.043381443331393266,-0.30728867582597313,0.8161722915190243,0.4395365831936923,0.6171754860343375,0.8302886806401448,0.50192664122094,APP
-0.7644673546988036,-0.27279621460119424,-0.6296350435460624,-0.30455605725414564,1.2084312721790766,1.160057402274178,-0.9531866288158951,-0.8579272708950246,-0.4142110859479285,1.8668684455564755,APP
-0.7644673546988036,-0.27279621460119424,-0.24889761339119632,0.07883543383496187,-1.3374937003360703,1.160057402274178,-1.0056468571743788,-0.8579272708950246,-0.24817030132795637,2.13881639249321,APP
-0.7644673546988036,-0.27279621460119424,-0.6296350435460624,-2.9074501789615472,1.9449881824664776,-1.2446394208181861,-0.7981171218766846,-0.8579272708950246,-2.71957074178567,3.944309267519632,APP
-0.7644673546988036,-0.27279621460119424,-0.6296350435460624,-0.5558062088781763,-0.0437154753095051,0.021457308897976608,-0.6595897750382463,-0.6760068029178532,0.695907862822501,-0.7997580636144361,APP
0.3754351653526319,-0.27279621460119424,-0.6296350435460624,1.1614071673658524,0.09398864270074811,0.14877277368378408,0.37465389552832906,0.2401174261717565,0.1847271001247971,-0.3238984604155355,APP
-0.7644673546988036,-0.27279621460119424,-0.6296350435460624,-1.005356250829549,-1.0401260038191835,0.02943878113620179,-0.3406698852150404,2.01746946511319,0.28798424097702385,0.08273848452794325,APP
-0.2940661372713802,-0.27279621460119424,2.233562825503564,-0.2098433377075784,0.13660548094944,0.1408026166161019,-0.16914538195316287,-0.3656816850320226,0.08343797878317759,-0.8428723663451912,APP
-0.21566593453186272,-0.27279621460119424,2.233562825503564,-0.2822048554994067,-0.24168334046686532,0.14662451877579388,-0.18964482486829892,-0.3287391854371665,0.08343797878317759,-0.7094203439355403,APP
-0.3254262184167031,-0.27279621460119424,1.708156261971057,-0.2422086742669864,-0.06704740200684878,0.1408026166161019,0.006524161045878688,-0.38143085437524477,0.08343797878317759,-0.8869847601912398,APP
-0.7644673546988036,-0.27279621460119424,-0.6296350435460624,0.7409764997209898,1.0716421314226376,-1.2446394208181861,-0.38909664445637,-0.3920004200891283,-0.2946934401141061,0.15145705781587585,APP
-0.4665570858225105,-0.27279621460119424,0.5133116796057348,0.5223293392670124,-0.16227954009571424,1.517823689423413,-0.197614579918185,-0.006317335657076749,-0.1366421875309946,-0.5239621673043281,APP
-0.7644673546988036,-0.27279621460119424,-0.6296350435460624,0.8003015201318986,-0.17181232927253137,-1.2446394208181861,-0.4075243567823061,-0.8579272708950246,-1.0453962500590865,-1.5715505841120947,APP
-0.7644673546988036,-0.27279621460119424,-0.6296350435460624,2.71167600923863,-0.18025507634909732,-1.2446394208181861,-0.12131447329304958,-0.8579272708950246,-2.71957074178567,-1.2239441383242706,APP
-0.3987610586505389,-0.27279621460119424,-0.6296350435460624,0.7897896067297394,-0.16352370961162227,0.7818096859574871,0.37267517553488805,0.1355234793869918,0.04126696617060156,-0.45547889126114743,APP
-0.4258388897492604,-0.27279621460119424,1.1472517440053134,-1.0465996874639212,-0.14225151691806134,1.198751738535487,-0.1081322721039127,0.2923667229259385,0.3950665935430665,-0.8190339831594577,APP
-0.7644673546988036,-0.27279621460119424,-0.6296350435460624,0.9286798862757303,0.14168786581793094,-1.2446394208181861,0.005251339730320247,-0.5208249693890591,-0.6496822792873487,-1.418796531843726,APP
0.33313548613023736,-0.27279621460119424,-0.6296350435460624,2.3362187456967165,-0.31271886863186027,-1.2446394208181861,-0.040580471177765406,0.999682841005204,-0.8008539075106805,-0.5712763553367105,APP
