TS[4]_V_U_z3,GV[2]_CHOQUET[A;-0.75;AO1;0.3]_H_eps,AC[4]_AM_T_hwhh,TS[2]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_U_isa,GV[4]_GOWAWA[0.2;2;ES2-OWA;0.9;0.0;2;W-OWA;0.4;0.6]_T_eps,AC[2]_SIC_T_scv,MIC_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_N_hwhh,AC[3]_HM_T_pie,ES_Q2_A_khh,TS[3]_Q1_T_eps,Class
-0.4218211786338775,0.5114684007497358,-0.3460914700590697,-0.2572740881062696,0.24770876561508665,-0.058250449138021625,-1.35633889895496,0.8970036775914666,1.3661384722545722,0.10580552282220898,APP
3.694688361645486,0.27300665621867376,0.99226783111647,1.1396605123208092,-0.5444353279599481,-0.8132862878948476,-1.35633889895496,0.911966698231407,-0.38980182867251023,1.9880922525279634,APP
-0.5075724242100157,0.5267925644669841,1.7184817859656398,-0.7198399196820724,-0.02980246022437916,-1.256535672192745,-0.5847362032809507,0.6345352564469298,-0.5749114309617952,0.4217015803806143,APP
-0.4299701877875588,0.5408412058943713,0.32376237449692646,-0.2572740881062696,1.0964995882969224,-0.1185126759679767,0.21373512854691254,0.4358239540299906,-0.7181973046690004,-1.2614484633173253,APP
-0.13747075342211845,0.4948141829211187,0.5043255648956424,-0.2478001335425051,-0.10582090573677912,-0.22958433752991994,-0.8810918332176311,1.0801873179668946,-0.414712784024738,0.4217015803806143,APP
1.3673532460254922,0.0766223436512341,-0.2734358334165322,-0.7198399196820724,-0.313338808354975,0.1196128333564851,-0.49247140077379087,0.781276792296941,-0.7651433062632985,0.951220165260289,APP
-0.5621957967220788,0.35404128057199574,0.3375119009413273,-0.2478001335425051,-0.07795855756741181,-0.24405695094174917,-1.35633889895496,1.7120163491524134,-0.695910438676184,0.8831541639079235,APP
-0.42376224726476924,0.4850777564105262,0.4988366835726031,1.1396605123208092,-0.018292962984609983,-0.19828584948962888,-0.8942541971368168,1.1700065436636173,-0.574893707243924,0.6975434140662851,APP
-0.0527928833277939,0.48082375538373356,1.2912367384908896,1.1396605123208092,-0.6434844136954657,-0.653944737575693,0.2717281768204174,-0.26138959043278637,-0.48835810928016105,1.3117954442192195,APP
-0.6246739248152494,-2.578943261306862,0.11274568203104836,-0.7198399196820724,-0.5366050907971961,-0.7487664048671728,-1.35633889895496,2.7017406501259567,-0.49941999211712845,2.4786910468907735,APP
-0.28839046572990656,0.37392094146026583,-1.1932566427737024,1.1396605123208092,-0.13089571329048683,-1.4863642193485485,-1.35633889895496,2.2218363638806844,-0.34885021381760284,1.1989629573620368,APP
-0.5604101415219681,0.4438261535334297,-0.35171305800001673,-0.2478001335425051,0.2693917018259328,-0.1758050952800141,-0.06557057864275323,0.5074274902658069,1.4879783117731784,0.9285314981428312,APP
-0.5895035875397789,-2.578943261306862,1.0322980979799155,-0.2520634130961991,0.0194264692608448,-1.361212070985315,-1.35633889895496,3.30501780356716,-0.39493344802211555,1.3117954442192195,APP
-0.47783410299252616,0.35101178623924434,0.5983059567531827,-0.2478001335425051,0.3027556837132351,0.15581182001196092,0.17975188363919195,0.5664709475871007,-0.8030775894648245,-0.2697791820759629,APP
-0.6213763333061628,-2.578943261306862,-0.22013977872221857,-0.7198399196820724,-0.27856641673082044,-0.1470932794848008,0.147373539950472,0.9630266763723289,-0.8487524568739999,1.307170446691433,APP
-0.624679724864274,0.42081306338554003,3.7031175031090133,-0.7198399196820724,0.2537710802762448,-4.216618735271167,-1.35633889895496,3.0173209502161966,0.6733895328263658,0.8831541639079235,APP
-0.624679724864274,0.4216857326303253,3.7031175031090133,-0.7198399196820724,0.2703683023038274,-3.242583360318146,-1.35633889895496,3.0173209502161966,0.6733895328263656,0.8831541639079235,APP
-0.624679724864274,0.42058367626622456,0.8300880642239958,-0.7198399196820724,0.1924234785232361,-1.9557446467457875,-1.35633889895496,1.9551700005391184,-0.48315589690096344,0.8569749326185527,APP
-0.624679724864274,0.4203143888985942,4.317982402131539,-0.7198399196820724,0.23784196006065647,-3.9470598923533946,-1.35633889895496,3.0173209502161966,-0.8174035450284762,0.8831541639079235,APP
-0.624679724864274,0.4213955189317498,5.547712200176591,-0.7198399196820724,-5.229519760909392,-2.5592337676850945,-1.35633889895496,3.0173209502161966,-0.768121129231622,0.8831541639079235,APP
0.8882717632805179,-2.578943261306862,0.1996685472202448,1.6074370189066824,0.12963983369704138,1.0617009579507486,-1.35633889895496,-0.11418697951017272,0.651986883680303,-0.42231683638869655,APP
-0.624679724864274,0.20561350202214995,-2.1380990376049844,-0.7198399196820724,-0.09359261356521201,1.0617009579507486,-1.35633889895496,1.2022177439927308,-0.21369395151701148,1.671323553926576,APP
-0.624679724864274,0.0844344262850661,-0.16366071129306609,-0.7198399196820724,-0.12393170631052558,-2.7121147782639525,-1.35633889895496,1.8072201560542926,1.8157990305980267,0.8831541639079235,APP
-0.5988274563493015,0.16143236637416344,0.050222217596714164,-0.2478001335425051,-0.117275689638473,1.0617009579507486,0.3246338363510516,-0.03336854567516117,-0.6590222235639661,-0.20834525265023987,APP
-0.5191513128907888,-0.11592877728844105,-0.2358607562540445,0.171185507039981,0.09615079331150295,0.18557695250861528,-1.35633889895496,0.4259596595545938,-0.5414623668433605,1.10707385553634,APP
0.0901898887762701,-0.0680357954157531,-0.36787168075482995,1.1396605123208092,-0.031145075443354542,-2.651499440681122,0.9066426995331259,-0.2570668554382271,0.8708111037339216,0.8210221216478178,APP
0.8882717632805179,0.13722686284340604,0.9522375642530241,2.999160944323691,-0.731036534592574,1.0617009579507486,-1.35633889895496,-0.45160055946618977,-0.7038955809306503,0.06391875275921421,APP
0.8882717632805179,0.13722686284340604,0.9490351429039484,2.999160944323691,0.3259743445364386,-1.0904412011836986,-1.35633889895496,-0.26620747319286236,0.47306971325924124,-0.42231683638869655,APP
-0.6168496586810416,0.23988620438359576,-0.49285506951736596,-0.7198399196820724,-0.028969782095793255,0.5434134820847377,0.36841911941754063,-0.062334214629178084,1.9661951769161496,1.3191256289802444,APP
-0.624679724864274,-0.4268299737445784,-3.6752612851613,-0.7198399196820724,-5.125777597172391,1.0617009579507486,1.3247027681324421,-0.27977738793442447,-0.5275525366918347,2.1669836663386635,APP
0.39963617553753716,-0.05813283143028931,-0.33673702874992767,1.1396605123208092,-0.5640138299534574,-1.766173417920624,0.8086519708560793,-0.19170511657511308,0.8728681474070615,1.3393709011773554,APP
-0.6148138414734011,-2.578943261306862,-0.30417907836765845,-0.29659099954589235,1.6060298359350869,1.0617009579507486,0.6454604320639252,-2.3283612672290803,-0.3443803576925983,-3.1384993467652103,APP
-0.5037047277838664,0.38417935750413895,-0.3057317675066043,-0.7198399196820724,-0.0340855609809655,0.3458967423818611,0.147373539950472,-0.020230625980070284,1.8855884880614318,-0.2872320029355434,APP
-0.6246716047956395,-2.578943261306862,1.147585266546639,2.4103546681857253,-0.10275904049791046,0.18557695250861528,-1.35633889895496,0.2904383096265829,1.3378133025132766,1.177321459496153,APP
-0.624679724864274,-2.578943261306862,1.410183817170843,-0.7198399196820724,-0.13497482270946812,-1.0212345839603514,-1.35633889895496,0.13671896910726297,1.6021435986141832,1.6080570783105967,APP
-0.624679724864274,-2.578943261306862,1.0515126260743695,-0.7198399196820724,-0.049084084406334806,1.0617009579507486,-1.35633889895496,0.21560965588883121,1.278251982850221,1.3334369420850993,APP
-0.624679724864274,-2.578943261306862,1.186014322735547,-0.7198399196820724,-0.12005109855535388,-0.690547052933519,-1.35633889895496,0.2660077331403963,1.3378133025132766,1.177321459496153,APP
-0.4629861514909783,-2.578943261306862,0.12921527754058038,2.8336035883219055,-0.7316075314234275,1.0617009579507486,-1.35633889895496,0.2489065416836037,-0.3910697368564166,1.1086446094137048,APP
-0.6246716047956395,-2.578943261306862,0.6864365922797445,2.4103546681857253,-0.08695788244970136,0.18557695250861528,-1.35633889895496,0.36559722954002194,1.6529391498085906,1.177321459496153,APP
-0.4629861514909783,-2.578943261306862,0.023535373021083678,2.8336035883219055,-0.5859998081478459,1.0617009579507486,-1.35633889895496,0.051760994460838976,-0.3910697368564166,1.1086446094137048,APP
-0.624679724864274,-2.578943261306862,1.3935312261556494,-0.7198399196820724,-0.12279423146146339,0.18557695250861528,-1.35633889895496,0.32448686948916666,1.3378133025132766,1.177321459496153,APP
-0.624679724864274,-2.578943261306862,1.3013014913022707,-0.7198399196820724,-0.045808222254014416,0.18557695250861528,-1.35633889895496,0.21190975672105197,1.3061317495010132,1.177321459496153,APP
